Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
Come and Get It,1969,Anthology 3,142,,,,,"Power Pop, Pop/Rock","AM Pop, Contemporary Pop/Rock, Soft Rock","Day Driving, Hanging Out, Playful, Summer, TGIF",Amiable/Good-Natured Cheerful Light Playful Relaxed Summery,McCartney,McCartney,,,,,,,,,,,,,,,,
Come Together,1969,Abbey Road,258,17,Something,Come Together,RIAA 2xPlatinum,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll",,Atmospheric Bravado Nocturnal Swaggering Laid-Back/Mellow Rousing Dreamy Sexy Spacey Playful,Lennon,Lennon,,53,4,1,,,,1,,6,20,9,20,1,47,44
Cry Baby Cry,1968,The Beatles,183,10,,,,Pop/Rock,"Contemporary Pop/Rock, Early Pop/Rock, Album Rock, British Psychedelia, Psychedelic/Garage",,Dreamy Eccentric Enigmatic Lazy Precious Quirky Weary Bittersweet Literate Nocturnal Searching Whimsical Autumnal Meandering Playful,Lennon,"Lennon, with McCartney",,3,,,,,,,,,,,,,,
Cry for a Shadow,1961,Anthology 1,140,,,,,"Instrumental Rock, Pop/Rock","British Invasion, Rock & Roll","Affection/Fondness, Day Driving, In Love, New Love, Playful, Hanging Out",Rollicking Amiable/Good-Natured Cheerful Fun Playful Exuberant Innocent,Lennon and Harrison,N/A,,2,,,,,,,,,,,,,,
"Crying, Waiting, Hoping",1963,Live at the BBC,130,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Feeling Blue, Reflection",Dramatic Innocent Passionate Reflective Romantic Detached Earnest Melancholy Sentimental Summery Wistful Earthy Naive Sparkling Street-Smart Sweet Whimsical Bittersweet Intimate,Buddy Holly,Harrison,Y,,,,,,,,,,,,,,,
Day Tripper,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,170,20,We Can Work It Out,Day Tripper,RIAA Gold,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",Breakup,Energetic Exciting Rousing Freewheeling Lively Passionate Swaggering Acerbic Urgent Circular Sardonic,"Lennon, with McCartney",Lennon and McCartney,,33,1,5,1,12,5,5,,29,30,39,,40,34,30
Dear Prudence,1968,The Beatles,236,9,,,,"Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",Affection/Fondness,Circular Delicate Dreamy Ethereal Intimate Poignant Spacey Trippy Wistful Precious Reflective Hypnotic Yearning Sweet,Lennon,Lennon,,15,,,,,,,,,,,37,,50,6
Devil in Her Heart,1963,UK: With the Beatles US: The Beatles Second Album,147,11,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Earnest Rousing Bittersweet Yearning Sweet Poignant Warm,Drapkin (aka Ricky Dee),Harrison,Y,,,,,,,,,,,,,,,
Dig a Pony,1969,Let It Be,232,12,,,,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll","Adventure, Awareness, Biographical, Fantasy, In Love, Loneliness, Relationships, Wisdom",Freewheeling Ramshackle Rousing Playful Searching Quirky Meandering Sprawling Yearning Melancholy,Lennon,Lennon,,3,,,,,,,,,,,,,,
Dig It,1969,Let It Be,51,10,,,,"Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Celebrities, Politics/Society, Protest, Relationships",Freewheeling Humorous Irreverent Meandering Quirky Ramshackle Rousing Sprawling Playful,"Lennon, with McCartney, Harrison and Starkey",Lennon,,,,,,,,,,,,,,,,
